Time (s),Volume (m^3),NH2_X(8),NH_X(9),H2O_X(10),N2O_X(11),H_X(12),He,NOX,OX,NX,OHX,NH3X,Ar,Ne,X(1),O2(2),H2O(3),N2(4),NO(5),NH3(6),N2O(7),NN_ads(36)
7.800842916400488e-16,0.048764219312884285,1.9050382971041302e-13,1.4358712293809384e-21,7.573115267828455e-13,8.631805051862485e-113,1.9052265398944658e-13,0.938,9.039934943185756e-63,5.790856589612475e-11,4.360079650286843e-31,1.882140696647875e-17,7.937655067871412e-12,0.0,0.0,0.028857280127783703,0.009999999971045717,0.04999999999924268,3.1075321656275166e-73,1.1228381869000273e-100,0.0019999999918718417,2.53908858978614e-118,3.1258487393733197e-83
1.5365296653539834e-15,0.048764219312884285,3.7523481530014426e-13,5.57046579257607e-21,1.4916738858154692e-12,4.014856508460252e-110,3.7527189891020884e-13,0.938,2.733090067839059e-61,1.1406232634841715e-10,3.354742444408915e-30,3.707246787368573e-17,1.5634766499915008e-11,0.0,0.0,0.02885728006282897,0.009999999942968836,0.0499999999985083,3.676217641385753e-71,6.780982276712373e-99,0.0019999999839899994,2.3616714723242783e-115,7.392580635494569e-81
3.049420412781852e-15,0.048764219312884285,7.446967841258254e-13,2.1940077334398785e-20,2.9603976184214387e-12,1.9588303820769824e-107,7.447704025994647e-13,0.938,8.499945981924769e-60,2.263698460216391e-10,2.6317820602720136e-29,7.357458852516449e-17,3.102896386025191e-11,0.0,0.0,0.028857279932919533,0.009999999886815077,0.04999999999703954,4.5230955946990656e-69,4.2152424859735703e-97,0.0019999999682263404,2.3043557460938728e-112,1.8187484338103156e-78
6.0752019076375906e-15,0.048764219312884285,1.4836207123595517e-12,8.708099570073134e-20,5.897841141800373e-12,9.78968220253671e-105,1.4837674653664032e-12,0.938,2.6813764702147696e-58,4.5098488044263153e-10,2.084880565456405e-28,1.4657882517617278e-16,6.181725656621718e-11,0.0,0.0,0.02885727967310077,0.00999999977450756,0.049999999994102026,5.675994998171266e-67,2.658675422400294e-95,0.0019999999366991233,2.3032352664836e-109,4.5642132780161515e-76
9.100983402493329e-15,0.048764219312884285,2.2225446280331568e-12,1.9542417524252617e-19,8.835279409408112e-12,1.155915061189334e-103,2.222764601981303e-12,0.938,1.5231666865665425e-57,6.755999082963569e-10,6.6075754373362545e-28,2.19583055624311e-16,9.260541325297366e-11,0.0,0.0,0.028857279413282155,0.009999999662200046,0.04999999999116451,5.314196703788011e-66,1.8338391793501434e-94,0.001999999905172043,3.0232349906280723e-108,4.860379246162035e-75
1.2126764897349067e-14,0.048764219312884285,2.9614685311420675e-12,3.469696157642518e-19,1.1772712421253419e-11,1.1063915026226515e-102,2.961761812439589e-12,0.938,5.505060195110364e-57,9.002149295828177e-10,1.506692053573164e-27,2.9258727986920044e-16,1.23393433921088e-10,0.0,0.0,0.028857279153463682,0.009999999549892535,0.049999999988227004,3.2084787628024245e-65,7.708268524276657e-94,0.001999999873645098,2.995261947949815e-107,3.2002632789383602e-74
1.5152546392204804e-14,0.048764219312884285,3.7003924216815545e-12,5.417173161142831e-19,1.471014017734546e-11,7.37703440291626e-102,3.700759096736529e-12,0.938,1.5452580902750805e-56,1.124829944302016e-09,2.874038934637946e-27,3.6559149791044977e-16,1.5418131857114909e-10,0.0,0.0,0.028857278893645363,0.009999999437585028,0.049999999985289506,1.3899797794809651e-64,2.4688716377149444e-93,0.0019999998421182893,2.1227747894430979e-106,1.5227631732995067e-73
2.120410938191628e-14,0.048764219312884285,5.178240165034725e-12,1.0608194906127152e-18,2.058497992230387e-11,1.6515207854368533e-100,5.1787538868288214e-12,0.938,7.71201546372808e-56,1.5740599540386343e-09,7.646656066923118e-27,5.11599915380577e-16,2.1575667981929884e-10,0.0,0.0,0.02885727837400916,0.009999999212970024,0.04999999997941452,1.4203606255158304e-63,1.568958555994968e-92,0.0019999997790650795,5.848508809474053e-105,1.959024477973907e-72
2.7255672371627758e-14,0.048764219312884285,6.656087858054745e-12,1.752730686477807e-18,2.645979864435724e-11,1.1867428147758057e-99,6.6567489722202144e-12,0.938,2.5257867099856834e-55,2.0232899375062317e-09,1.600323107065961e-26,6.576083080315542e-16,2.7733149700215506e-10,0.0,0.0,0.02885727785437355,0.009999998988355031,0.04999999997353955,7.077651916540199e-63,6.077403569278133e-92,0.001999999716012414,4.5570622651396894e-104,1.0995346092931463e-71
3.330723536133923e-14,0.048764219312884285,8.133935500701689e-12,2.6174508904316273e-18,3.233459634358339e-11,6.152189086154754e-99,8.134744352870745e-12,0.938,6.591733801316472e-55,2.4725198947048286e-09,2.902249626259054e-26,8.036166758600771e-16,3.389057701247009e-10,0.0,0.0,0.028857277334738533,0.009999998763740053,0.049999999967664605,2.6393433875629895e-62,1.8315643911928246e-91,0.0019999996529602923,2.5617564272596607e-103,4.5633338813623724e-71
